unit,datetime,min_cycle,avg_voltage,avg_current,avg_temperature,avg_capacity
rw3,6/1/2020 02:00:08,2984170,4.2,-0.023,-4094.09814,1.060429967
rw3,6/1/2020 02:00:18,2984171,4.2,-0.022,-4094.09814,1.061211082
rw3,6/1/2020 02:00:28,2984172,4.2,-0.023,-4094.09814,1.060874811
rw3,6/1/2020 02:00:38,2984173,4.2,-0.022,-4094.09814,1.059834747
rw3,6/1/2020 02:00:48,2984174,4.2,-0.022,-4094.09814,1.0602817
rw3,6/1/2020 02:00:58,2984175,4.2,-0.023,-4094.09814,1.060428354
rw3,6/1/2020 02:01:08,2984176,4.2,-0.021,-4094.09814,1.058264243
rw3,6/1/2020 02:01:18,2984177,4.2,-0.021,-4094.09814,1.061061636
rw3,6/1/2020 02:01:28,2984178,4.2,-0.021,-4094.09814,1.060582732
rw3,6/1/2020 02:01:38,2984179,4.2,-0.021,-4094.09814,1.059465384
rw3,6/1/2020 02:01:48,2984180,4.2,-0.021,-4094.09814,1.059304494
rw3,6/1/2020 02:01:58,2984181,4.2,-0.022,-4094.09814,1.061118842
rw3,6/1/2020 02:02:08,2984182,4.2,-0.022,-4094.09814,1.060406926
rw3,6/1/2020 02:02:18,2984183,4.2,-0.021,-4094.09814,1.059772856
rw3,6/1/2020 02:02:28,2984184,4.2,-0.02,-4094.09814,1.060603691
rw3,6/1/2020 02:02:38,2984185,4.2,-0.021,-4094.09814,1.060399867
rw3,6/1/2020 02:02:48,2984186,4.2,-0.022,-4094.09814,1.060371558
rw3,6/1/2020 02:02:58,2984187,4.2,-0.022,-4094.09814,1.059596727
rw3,6/1/2020 02:03:08,2984188,4.2,-0.02,-4094.09814,1.058820305
rw3,6/1/2020 02:03:18,2984189,4.2,-0.02,-4094.09814,1.059870563
rw3,6/1/2020 02:03:28,2984190,4.2,-0.021,-4094.09814,1.059889909
rw3,6/1/2020 02:03:38,2984191,4.2,-0.02,-4094.09814,1.060860246
rw3,6/1/2020 02:03:48,2984192,4.2,-0.02,-4094.09814,1.059646563
rw3,6/1/2020 02:03:58,2984193,4.2,-0.02,-4094.09814,1.059382715
rw3,6/1/2020 02:04:08,2984194,4.2,-0.021,-4094.09814,1.059659235
rw3,6/1/2020 02:04:18,2984195,4.2,-0.02,-4094.09814,1.059690334
rw3,6/1/2020 02:04:28,2984196,4.2,-0.02,-4094.09814,1.060813629
rw3,6/1/2020 02:04:38,2984197,4.2,-0.021,-4094.09814,1.059691364
rw3,6/1/2020 02:04:48,2984198,4.2,-0.02,-4094.09814,1.059210525
rw3,6/1/2020 02:04:58,2984199,4.2,-0.02,-4094.09814,1.060705778
